Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250049-València-Conselleria Meteo.
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	Veloc.máx.
		m/s	grados	°C	% H.R.	mb	W/m²	l/m²	m/s
01/01/2022	00	0,3	329	9,9	81	1015	1	0	1,1
01/01/2022	01	0,1	312	9,2	83	1015	1	0	0,1
01/01/2022	02	0,1	306	9,2	79	1015	1	0	0,1
01/01/2022	03	0,1	281	9	72	1015	1	0	0,5
01/01/2022	04	0,1	285	8,4	73	1015	1	0	0,5
01/01/2022	05	0,3	308	8,6	68	1015	1	0	1,5
01/01/2022	06	1,8	302	8,7	63	1014	1	0	4,2
01/01/2022	07	0,7	286	7,9	70	1014	1	0	2,9
01/01/2022	08	1,4	294	8,7	63	1015	21	0	3,8
01/01/2022	09	0,7	251	10,5	59	1015	189	0	2,4
01/01/2022	10	0,1	233	13,9	50	1015	349	0	0,2
01/01/2022	11	0,2	163	16,1	45	1016	465	0	0,3
01/01/2022	12	1,1	149	14,8	54	1015	521	0	2,2
01/01/2022	13	0,5	147	16,1	56	1014	503	0	1,8
01/01/2022	14	1,4	135	15,7	68	1013	452	0	2,7
01/01/2022	15	1,4	139	15,6	72	1013	335	0	2,7
01/01/2022	16	0,2	121	18	58	1013	183	0	0,3
01/01/2022	17	1	296	15,5	73	1013	34	0	1,8
01/01/2022	18	1,4	24	12,8	93	1014	1	0	2,8
01/01/2022	19	1	21	12,4	97	1014	1	0	2,6
01/01/2022	20	0,1	345	12	95	1015	0	0	0,3
01/01/2022	21	0,1	307	11,5	92	1014	0	0	0,7
01/01/2022	22	1,1	295	10,6	91	1015	1	0	3,3
01/01/2022	23	1,9	302	10,8	88	1015	1	0	4,3
02/01/2022	00	1,3	291	10	86	1014	0	0	3,7
02/01/2022	01	0,5	289	9,8	84	1014	0	0	2,2
02/01/2022	02	0,2	254	11,1	72	1014	1	0	2
02/01/2022	03	0,4	282	10,3	68	1014	1	0	2,1
02/01/2022	04	0,1	340	10,6	65	1014	1	0	0,1
02/01/2022	05	0,1	45	10,8	62	1014	1	0	0,2
02/01/2022	06	0,1	262	9	70	1014	1	0	0,6
02/01/2022	07	0,7	306	9,5	66	1014	1	0	2,1
02/01/2022	08	0,4	356	9,3	67	1015	38	0	1,5
02/01/2022	09	0,5	9	9,9	71	1015	191	0	1,4
02/01/2022	10	0,3	52	11,9	69	1016	329	0	0,8
02/01/2022	11	0,1	51	15,3	60	1016	465	0	0,1
02/01/2022	12	0,1	96	17,1	52	1015	530	0	0,2
02/01/2022	13	0,2	101	17,6	50	1014	428	0	0,6
02/01/2022	14	0,1	162	17,6	57	1013	380	0	0,9
02/01/2022	15	0,1	97	17,4	59	1013	319	0	0,9
02/01/2022	16	0,1	104	17,8	54	1013	187	0	0,3
02/01/2022	17	0,1	157	14,7	68	1013	35	0	0,3
02/01/2022	18	0,1	158	13,1	80	1014	1	0	0,1
02/01/2022	19	0,1	92	12,6	81	1014	1	0	0,3
02/01/2022	20	0,2	332	11,9	87	1014	1	0	0,4
02/01/2022	21	0,3	314	11,3	93	1014	1	0	1,2
02/01/2022	22	1,3	313	10,7	94	1014	1	0	3
02/01/2022	23	1,8	307	10,2	85	1014	1	0	4,3
03/01/2022	00	1,3	314	9,3	86	1015	1	0	3,2
03/01/2022	01	0,4	316	9,8	79	1014	1	0	1,4
03/01/2022	02	0,6	319	9	77	1014	1	0	1,7
03/01/2022	03	0,6	353	9,3	79	1014	1	0	1,6
03/01/2022	04	0,2	9	9,4	84	1014	1	0	0,9
03/01/2022	05	0,1	318	8,5	87	1014	1	0	0,5
03/01/2022	06	0,1	312	8,6	88	1014	1	0	0,7
03/01/2022	07	0,5	295	7,8	88	1014	1	0	2,2
03/01/2022	08	0,3	301	7,8	93	1014	12	0	1,7
03/01/2022	09	0,2	290	8,7	94	1014	110	0	1,7
03/01/2022	10	0,1	254	11,4	82	1014	313	0	0,1
03/01/2022	11	0,1	200	13,7	69	1013	422	0	0,2
03/01/2022	12	0,2	142	14,8	60	1012	489	0	0,6
03/01/2022	13	1	138	14,4	60	1011	477	0	2,5
03/01/2022	14	2,6	135	13,6	70	1010	406	0	5,1
03/01/2022	15	1	156	14,8	70	1009	335	0	3,1
03/01/2022	16	0,3	129	15,1	73	1009	166	0	2,3
03/01/2022	17	0,1	165	13,5	81	1009	32	0	0,6
03/01/2022	18	0,1	18	12,4	88	1009	1	0	0,2
03/01/2022	19	0,1	49	11,8	90	1009	1	0	0,2
03/01/2022	20	0,3	327	11,5	92	1008	1	0	1
03/01/2022	21	0,6	313	11	94	1008	1	0	2,2
03/01/2022	22	0,2	293	10,1	94	1007	0	0	1,1
03/01/2022	23	0,3	275	10	91	1007	1	0	2,9
04/01/2022	00	3,5	254	12	73	1007	1	0	7,6
04/01/2022	01	4	251	13,3	58	1006	1	0	7,1
04/01/2022	02	5,6	251	14	53	1005	1	0	10,7
04/01/2022	03	5,6	248	14	55	1005	1	0	10,3
04/01/2022	04	4,1	254	14,1	55	1004	1	0	8,3
04/01/2022	05	5,3	249	13,8	57	1003	1	0	10,4
04/01/2022	06	5,4	253	14	57	1002	1	0	10,6
04/01/2022	07	6,6	241	13,6	60	1002	1	0	9,3
04/01/2022	08	7,6	231	13,4	62	1002	29	0	10,2
04/01/2022	09	3,5	254	14,6	60	1002	179	0	6,6
04/01/2022	10	1,9	278	16,5	57	1002	331	0	4,8
04/01/2022	11	0,7	274	19,1	52	1001	436	0	4,5
04/01/2022	12	4,7	258	20,8	46	1000	511	0	12,9
04/01/2022	13	4,7	287	21,5	45	998	506	0	11,7
04/01/2022	14	4,4	265	22,3	38	997	459	0	11,2
04/01/2022	15	4,5	267	22,3	34	996	342	0	11,9
